"København",549050,559440,569557,580184,591481,602481,613288,623404,632340,638117,644431
"Frederiksberg",100215,102029,102717,103192,104481,105037,104410,103960,104305,103677,103608
"Dragør",13692,13917,13977,14028,14142,14288,14272,14270,14494,14569,14640
"Tårnby",41151,41572,41992,42573,42860,43010,43063,42984,42989,42670,42723
"Albertslund",27864,27824,27728,27806,27880,27896,27743,27877,27731,27366,27599
"Ballerup",47994,48211,48514,48355,48224,48231,48295,48458,48602,49310,49274
"Brøndby",34084,34210,34580,35050,35322,35594,35538,35397,35090,35232,35651
"Gentofte",72814,73360,74282,74932,75350,75805,75803,75176,74830,74550,74217
"Gladsaxe",65303,66030,66656,67347,67914,68775,69484,69681,69262,69200,69259
"Glostrup",21650,21869,22066,22357,22461,22528,22663,22615,23128,23380,23514
"Herlev",26608,26958,27706,28148,28423,28406,28572,28786,28953,28913,28867
"Hvidovre",50600,51341,51842,52380,52831,52964,53282,53416,53527,53451,53267
"Høje-Taastrup",48081,48471,48807,49230,49960,50246,50596,50686,50759,51729,53053
"Ishøj",21087,21131,21547,22025,22358,22719,22988,22946,22989,23131,23225
"Lyngby-Taarbæk",53251,53840,54237,54778,55097,55240,55472,55790,56214,56614,57826
"Rødovre",36883,37351,37552,37743,38002,38492,39343,40052,40652,41113,41382
"Vallensbæk",14565,14797,15095,15204,15419,15705,16280,16654,16633,16515,16488
"Allerød",24043,24073,24175,24411,24732,24942,25235,25646,25633,25893,25867
"Egedal",41821,42018,42210,42573,42773,43082,43000,43335,43354,43696,44375
"Fredensborg",39565,39462,39585,39772,40112,40504,40779,40819,40865,40998,41211
"Frederikssund",44345,44365,44401,44413,44725,45036,45189,45332,45223,45439,45800
"Furesø",38243,38236,38492,39077,40156,40613,40911,41069,40965,41001,41402
"Gribskov",40603,40655,40778,40855,41107,41213,41217,41195,41048,40971,41147
"Halsnæs",30980,30803,30647,30736,31049,31162,31168,31271,31384,31420,31344
"Helsingør",61493,61613,61519,61632,62092,62443,62686,62567,62695,63000,62875
"Hillerød",48203,48315,48695,49108,49672,50109,50650,50998,51183,51528,53257
"Hørsholm",24365,24543,24709,24856,24965,24977,25028,25007,24864,24917,24761
"Rudersdal",54630,54827,55034,55441,55739,56133,55989,56509,56728,57024,57247
"Bornholm",41303,40715,40215,39828,39756,39695,39632,39572,39499,39570,39545
"Christiansø",103,92,90,91,91,78,83,90,84,90,93
"Greve",47942,47980,48095,48835,49518,49921,49974,50267,50558,50514,50818
"Køge",57307,57771,58374,59285,59868,60109,60356,60675,60979,61475,61718
"Lejre",26887,26901,26989,27172,27317,27402,27544,27775,27996,28173,28623
"Roskilde",83137,83554,84219,85026,86207,87015,87382,87577,87914,88889,89447
"Solrød",21156,21145,21339,21552,21788,22147,22518,23065,23255,23441,23794
"Faxe",35110,35123,35119,35195,35614,35916,36139,36513,36576,36713,37161
"Guldborgsund",61913,61322,61007,60829,60979,61257,61219,60930,60722,60328,60310
"Holbæk",69415,69263,69016,69035,69972,70950,70983,71297,71541,71913,72810
"Kalundborg",48632,48294,48358,48469,48660,48736,48982,48681,48436,48487,48368
"Lolland",45241,44436,43528,43024,42638,42285,41982,41615,41105,40539,40107
"Næstved",81012,81163,81432,81687,82342,82581,82938,82991,83143,83181,83801
"Odsherred",32640,32452,32534,32665,32816,33023,33083,33122,32957,32923,32881
"Ringsted",33153,33217,33349,33573,34031,34259,34473,34725,34852,34847,35141
"Slagelse",77310,77167,76948,77293,78140,78828,78968,79073,79073,79122,79691
"Sorø",29393,29288,29299,29331,29543,29595,29669,29834,29881,29993,30018
"Stevns",21855,21818,21825,22038,22260,22492,22727,22782,22805,23034,23473
"Vordingborg",45804,45465,45295,45471,45806,46037,46087,45816,45566,45268,45352
"Assens",41443,41325,41037,41046,41224,41390,41328,41212,40965,40867,40972
"Faaborg-Midtfyn",51635,51409,51078,50953,51236,51376,51536,51809,51556,51683,51849
"Kerteminde",23793,23787,23665,23728,23880,23774,23756,23773,23812,23847,24034
"Langeland",13094,12861,12695,12647,12547,12578,12641,12560,12491,12367,12316
"Middelfart",37612,37523,37685,37857,37913,38093,38210,38553,38853,39116,39603
"Nordfyns",29330,29224,29066,29030,29298,29446,29516,29693,29665,29549,29714
"Nyborg",31486,31350,31314,31573,31886,32142,32032,32042,32009,31933,32098
"Odense",191610,193370,195797,197480,198972,200563,202348,204182,204895,205509,205978
"Svendborg",58551,58296,57979,57988,58228,58510,58698,58599,58296,58588,59193
"Ærø",6636,6527,6393,6276,6290,6177,6178,6058,5964,5960,6025
"Billund",26220,26357,26318,26285,26434,26481,26482,26629,26608,26551,26631
"Esbjerg",115112,115051,115095,115446,115748,115905,116032,115652,115483,115579,115459
"Fanø",3251,3237,3264,3263,3290,3345,3401,3404,3488,3456,3427
"Fredericia",50193,50374,50324,50429,50689,50868,51326,51427,51377,51275,51606
"Haderslev",56188,56051,55906,55888,56029,56045,55963,55857,55670,55376,55340
"Kolding",89412,89556,90066,90794,91695,92282,92515,92893,93175,93161,93544
"Sønderborg",76094,75732,75264,74937,74737,74801,74650,74561,74220,73831,73711
"Tønder",39083,38686,38316,38010,37904,37928,37777,37587,37366,37050,36849
"Varde",50193,49969,49958,50122,50289,50452,50301,50129,49961,49628,49664
"Vejen",42785,42700,42667,42601,42869,42822,42844,42863,42742,42790,42596
"Vejle",108021,108826,109652,110471,111743,113243,114140,114830,115748,116992,119060
"Aabenraa",59600,59208,58970,58904,58869,59003,59089,59035,58761,58526,58693
"Favrskov",47117,47156,47163,47523,47655,47915,48271,48374,48397,48381,48880
"Hedensted",46029,45868,45715,46091,46206,46524,46616,46747,46722,46773,47099
"Horsens",83598,84871,85662,86361,87736,89030,89598,90370,90966,92229,94443
"Norddjurs",37876,38035,37925,37898,38144,38099,38197,37680,37089,36943,36921
"Odder",21749,21800,21773,21928,22131,22331,22626,22675,22844,22979,23304
"Randers",95756,96007,96343,96800,97520,98118,98265,97909,97805,98190,98988
"Samsø",3889,3806,3767,3733,3710,3724,3720,3684,3657,3682,3716
"Silkeborg",89328,89346,89633,90016,90719,91237,92024,93054,94026,95488,97358
"Skanderborg",58008,58094,58176,58782,59481,60401,61158,61974,62678,63390,64318
"Syddjurs",41815,41894,41719,41652,41889,42021,42468,42768,42962,43168,43596
"Aarhus",314545,319094,323893,326246,330639,335684,340421,345332,349983,352751,355238
"Herning",86348,86595,86842,86864,87593,88386,88733,88917,89127,89238,89230
"Holstebro",57153,57254,57338,57494,57661,58125,58418,58504,58591,58662,58553
"Ikast-Brande",40658,40468,40602,40598,40798,40981,41191,41282,41369,41473,41885
"Lemvig",21384,21223,20933,20657,20399,20291,20133,19998,19722,19607,19398
"Ringkøbing-Skjern",57892,57529,57093,57042,57139,57022,57005,56930,56594,56182,56203
"Skive",47620,47291,46942,46641,46639,46540,46599,46224,45851,45425,45078
"Struer",22098,21846,21533,21439,21474,21347,21270,21143,21036,20808,20802
"Viborg",93819,94333,94486,94985,95776,96477,96883,97113,96921,96679,96847
"Brønderslev",35754,35600,35627,35781,36047,36128,36289,36370,36304,36177,36194
"Frederikshavn",61158,60775,60458,60377,60246,60356,60140,59987,59654,59039,58878
"Hjørring",66178,65767,65405,65295,65411,65307,65257,64665,64483,64155,63839
"Jammerbugt",38611,38597,38351,38293,38466,38581,38638,38460,38324,38175,38187
"Læsø",1897,1839,1808,1795,1817,1793,1807,1806,1786,1764,1769
"Mariagerfjord",42429,42111,42093,42134,42131,42066,42125,42055,41800,41536,41662
"Morsø",21474,21189,21003,20816,20629,20665,20514,20403,20247,20066,20068
"Rebild",28911,28866,28794,28859,29149,29391,29827,29916,30113,30518,30646
"Thisted",44908,44494,44230,44078,43991,43826,43716,43660,43423,43160,43089
"Vesthimmerlands",37534,37586,37479,37399,37296,37285,37277,37121,36727,36362,36326
"Aalborg",201142,203448,205809,207805,210316,211937,213558,215312,217075,219487,221082
